"ObjectId","Landkreis","Bundesland","Infektionen","Infektionsrate","Neuinfektionen pro 100k EW","Todesfälle","Letalitätsrate","Aktualisiert"
"178","Südwestpfalz","Rheinland-Pfalz","148","0.155604386361486","155.604386361486","3","2.02702702702703","2020-10-04"
"179","Stuttgart","Baden-Württemberg","2928","0.461225839988658","461.225839988658","65","2.21994535519126","2020-10-04"
"180","Böblingen","Baden-Württemberg","2189","0.558931671943622","558.931671943622","48","2.19278209227958","2020-10-04"
"181","Esslingen","Baden-Württemberg","2860","0.535721979024424","535.721979024424","121","4.23076923076923","2020-10-04"
"182","Göppingen","Baden-Württemberg","1192","0.463357084271126","463.357084271126","40","3.35570469798658","2020-10-04"
"183","Ludwigsburg","Baden-Württemberg","2719","0.499830877378746","499.830877378746","73","2.68481059212946","2020-10-04"
"184","Rems-Murr-Kreis","Baden-Württemberg","2357","0.553081251554588","553.081251554588","98","4.15782774713619","2020-10-04"
"185","Heilbronn","Baden-Württemberg","749","0.594633216894252","594.633216894252","17","2.26969292389853","2020-10-04"
"186","Heilbronn","Baden-Württemberg","1379","0.401961127240081","401.961127240081","44","3.19071791153009","2020-10-04"
"187","Hohenlohekreis","Baden-Württemberg","869","0.775823587179716","775.823587179716","47","5.40851553509781","2020-10-04"
"188","Schwäbisch Hall","Baden-Württemberg","1141","0.582555996344346","582.555996344346","60","5.25854513584575","2020-10-04"
"189","Main-Tauber-Kreis","Baden-Württemberg","561","0.42396898451493","423.96898451493","11","1.96078431372549","2020-10-04"
"190","Heidenheim","Baden-Württemberg","630","0.475572196388671","475.572196388671","41","6.50793650793651","2020-10-04"
"191","Ostalbkreis","Baden-Württemberg","1902","0.605728625932319","605.728625932319","44","2.31335436382755","2020-10-04"
"192","Baden-Baden","Baden-Württemberg","231","0.419062823140976","419.062823140976","19","8.22510822510823","2020-10-04"
"193","Karlsruhe","Baden-Württemberg","715","0.228367380833749","228.367380833749","14","1.95804195804196","2020-10-04"
"194","Karlsruhe","Baden-Württemberg","1451","0.326631129679987","326.631129679987","82","5.6512749827705","2020-10-04"
"195","Rastatt","Baden-Württemberg","747","0.32335142716152","323.35142716152","19","2.54350736278447","2020-10-04"
"196","Heidelberg","Baden-Württemberg","535","0.33363474790309","333.63474790309","7","1.30841121495327","2020-10-04"
"197","Mannheim","Baden-Württemberg","1172","0.378834405404532","378.834405404532","13","1.10921501706485","2020-10-04"
"198","Neckar-Odenwald-Kreis","Baden-Württemberg","543","0.37830494304525","378.30494304525","23","4.23572744014733","2020-10-04"
"199","Rhein-Neckar-Kreis","Baden-Württemberg","1682","0.307144487559918","307.144487559918","40","2.37812128418549","2020-10-04"
"200","Pforzheim","Baden-Württemberg","633","0.504213729269886","504.213729269886","8","1.26382306477093","2020-10-04"
"201","Calw","Baden-Württemberg","934","0.589657632404654","589.657632404654","27","2.89079229122056","2020-10-04"
"202","Enzkreis","Baden-Württemberg","911","0.458007591563812","458.007591563812","23","2.52469813391877","2020-10-04"
"203","Freudenstadt","Baden-Württemberg","665","0.563869928350362","563.869928350362","39","5.86466165413534","2020-10-04"
"204","Freiburg im Breisgau","Baden-Württemberg","1287","0.55897950408485","558.97950408485","80","6.21600621600622","2020-10-04"
"205","Breisgau-Hochschwarzwald","Baden-Württemberg","1519","0.578017085560989","578.017085560989","72","4.73996050032916","2020-10-04"
"206","Emmendingen","Baden-Württemberg","700","0.423259948120424","423.259948120423","44","6.28571428571429","2020-10-04"
"207","Ortenaukreis","Baden-Württemberg","1613","0.375571331776408","375.571331776408","125","7.74953502789833","2020-10-04"
"208","Rottweil","Baden-Württemberg","781","0.560037288014055","560.037288014055","26","3.32906530089629","2020-10-04"
"209","Schwarzwald-Baar-Kreis","Baden-Württemberg","697","0.328183782918434","328.183782918434","35","5.02152080344333","2020-10-04"
"210","Tuttlingen","Baden-Württemberg","623","0.44451738112906","444.51738112906","25","4.01284109149278","2020-10-04"
"211","Konstanz","Baden-Württemberg","752","0.263559099272759","263.559099272759","17","2.26063829787234","2020-10-04"
"212","Lörrach","Baden-Württemberg","909","0.397569968378098","397.569968378098","64","7.04070407040704","2020-10-04"
"213","Waldshut","Baden-Württemberg","449","0.263159437108411","263.159437108411","35","7.79510022271715","2020-10-04"
"214","Reutlingen","Baden-Württemberg","1988","0.69329167073528","693.29167073528","82","4.12474849094567","2020-10-04"
"215","Tübingen","Baden-Württemberg","1558","0.685344277727191","685.344277727191","60","3.85109114249037","2020-10-04"
"216","Zollernalbkreis","Baden-Württemberg","1425","0.754227644427978","754.227644427978","78","5.47368421052632","2020-10-04"
"217","Ulm","Baden-Württemberg","607","0.480491415272819","480.491415272819","9","1.4827018121911","2020-10-04"
"218","Alb-Donau-Kreis","Baden-Württemberg","929","0.473865960713502","473.865960713502","26","2.79870828848224","2020-10-04"
"219","Biberach","Baden-Württemberg","864","0.432557999819768","432.557999819767","36","4.16666666666667","2020-10-04"
"220","Bodenseekreis","Baden-Württemberg","560","0.258987083019234","258.987083019234","8","1.42857142857143","2020-10-04"
"221","Ravensburg","Baden-Württemberg","911","0.320453066464991","320.453066464991","7","0.768386388583974","2020-10-04"
"222","Sigmaringen","Baden-Württemberg","896","0.684633194012516","684.633194012516","36","4.01785714285714","2020-10-04"
"223","Ingolstadt","Bayern","799","0.583292573422591","583.292573422591","39","4.8811013767209","2020-10-04"
"224","München","Bayern","11805","0.802238248110102","802.238248110102","225","1.90597204574333","2020-10-04"
"225","Rosenheim","Bayern","728","1.14964310529973","1149.64310529973","23","3.15934065934066","2020-10-04"
"226","Altötting","Bayern","754","0.677996583041093","677.996583041093","57","7.55968169761273","2020-10-04"
"227","Berchtesgadener Land","Bayern","449","0.424698738200185","424.698738200185","25","5.56792873051225","2020-10-04"
"228","Bad Tölz-Wolfratshausen","Bayern","646","0.507753857278722","507.753857278722","10","1.54798761609907","2020-10-04"
"229","Dachau","Bayern","1254","0.81489953471446","814.89953471446","34","2.71132376395534","2020-10-04"
"230","Ebersberg","Bayern","782","0.550154071280832","550.154071280832","6","0.767263427109974","2020-10-04"
"231","Eichstätt","Bayern","433","0.327185074920093","327.185074920093","20","4.6189376443418","2020-10-04"
"232","Erding","Bayern","871","0.632718291442685","632.718291442685","11","1.26291618828932","2020-10-04"
"233","Freising","Bayern","1345","0.750910024788405","750.910024788405","46","3.42007434944238","2020-10-04"
